CustomerID,Age,Gender,Annual_Income,Num_Website_Visits,Time_Spent_Minutes,Pages_Viewed,Items_Viewed,Cart_Additions,Previous_Purchases,Days_Since_Last_Visit,Discount_Sensitive,Device_Type,Browser,Season,Is_Weekend,Customer_Satisfaction,Purchase,Purchase_Amount
1,56,Male,82461,15,56,39,23,9,5,212,0,Mobile,Edge,Spring,0,3,1,351
2,46,Male,22665,15,51,35,28,13,1,349,1,Tablet,Chrome,Summer,1,1,0,0
3,32,Female,47025,11,101,41,8,14,0,48,1,Tablet,Safari,Summer,1,2,1,253
4,60,Female,43533,2,63,48,23,2,4,289,0,Tablet,Firefox,Summer,1,1,1,69
5,25,Female,65897,3,51,14,11,7,0,185,0,Mobile,Edge,Spring,0,3,1,178
6,38,Female,140486,19,60,32,20,11,3,103,0,Desktop,Firefox,Fall,0,2,0,0
7,56,Male,97661,15,117,7,13,13,7,224,0,Desktop,Edge,Fall,1,1,1,442
8,36,Female,140473,16,17,44,12,13,1,281,0,Desktop,Edge,Spring,0,4,0,0
9,40,Male,145766,1,48,33,7,4,5,300,1,Tablet,Safari,Fall,0,1,0,0
10,28,Male,40998,15,39,48,21,1,9,91,0,Tablet,Chrome,Summer,0,4,1,440
11,28,Female,138980,12,119,35,12,9,4,111,0,Desktop,Chrome,Fall,0,5,0,0
12,41,Male,81248,7,33,27,10,13,0,322,0,Mobile,Edge,Fall,0,3,0,0
13,53,Male,124493,7,60,1,7,2,7,128,0,Tablet,Firefox,Fall,0,4,0,0
14,57,Male,43057,11,9,6,19,6,4,251,1,Mobile,Firefox,Spring,0,3,0,0
15,41,Male,99244,11,71,2,26,9,8,196,0,Mobile,Safari,Summer,0,5,1,102
16,20,Female,103608,17,57,7,27,8,1,153,0,Tablet,Chrome,Spring,1,1,1,254
17,39,Female,90631,3,105,8,7,0,5,279,1,Desktop,Firefox,Summer,0,1,1,174
18,19,Male,117031,16,64,45,23,11,6,356,0,Mobile,Chrome,Winter,0,4,0,0
19,41,Female,132713,5,109,29,18,5,0,343,1,Desktop,Safari,Fall,0,5,0,0
20,61,Male,125887,2,10,16,24,10,9,120,1,Tablet,Edge,Spring,0,1,0,0
21,47,Female,142512,7,52,29,23,13,3,284,0,Mobile,Firefox,Fall,0,2,0,0
22,55,Female,87173,10,110,31,25,8,1,264,0,Tablet,Safari,Winter,0,5,1,221
23,19,Female,100206,5,84,22,12,6,6,225,1,Tablet,Chrome,Summer,0,2,0,0
24,38,Female,58734,15,39,10,4,2,2,254,0,Mobile,Chrome,Winter,0,2,0,0
25,50,Female,82072,12,22,4,25,6,8,157,0,Mobile,Edge,Spring,1,5,0,0
26,29,Male,84175,10,15,25,1,11,7,184,1,Desktop,Edge,Fall,0,1,0,0
27,39,Female,122974,17,55,13,5,1,9,15,0,Mobile,Firefox,Winter,1,5,1,355
28,61,Male,83783,11,27,17,10,9,6,293,0,Tablet,Firefox,Summer,0,1,0,0
29,42,Male,114194,8,51,40,7,1,7,363,1,Desktop,Safari,Winter,0,3,1,389
30,44,Female,90739,15,79,8,20,0,0,120,1,Tablet,Firefox,Fall,0,2,0,0
31,59,Male,107054,2,63,23,29,14,9,341,1,Desktop,Edge,Summer,1,4,1,485
32,45,Female,71042,17,61,7,7,2,5,248,0,Tablet,Chrome,Summer,0,5,0,0
33,33,Male,72357,6,97,32,28,0,6,118,1,Desktop,Edge,Fall,1,4,0,0
34,32,Male,28669,13,60,24,25,7,6,92,0,Mobile,Firefox,Winter,0,3,1,263
35,64,Female,133272,8,110,1,13,12,8,36,0,Tablet,Chrome,Summer,1,3,0,0
36,61,Female,87902,11,31,47,14,10,6,336,0,Tablet,Edge,Fall,0,2,1,42
37,20,Female,142247,15,77,47,5,7,6,12,0,Desktop,Firefox,Summer,0,4,1,100
38,54,Female,38910,13,39,36,21,3,5,28,1,Mobile,Edge,Spring,1,3,0,0
39,24,Male,76959,18,59,27,2,14,2,289,0,Mobile,Edge,Summer,0,2,0,0
40,38,Female,116623,18,13,6,14,0,5,75,0,Desktop,Edge,Winter,1,5,0,0
41,26,Male,20366,17,22,42,21,1,8,79,0,Mobile,Edge,Summer,0,5,0,0
42,56,Male,68415,13,48,31,8,1,9,211,0,Mobile,Edge,Spring,0,4,0,0
43,35,Male,144716,3,25,12,20,1,2,183,1,Desktop,Edge,Summer,0,2,0,0
44,21,Male,141209,7,60,26,2,8,2,79,1,Tablet,Edge,Summer,1,2,1,48
45,42,Male,29907,12,52,25,8,6,6,201,1,Desktop,Edge,Fall,0,2,0,0
46,31,Male,124910,4,104,4,20,8,6,205,1,Desktop,Safari,Fall,0,1,1,356
47,26,Female,115825,11,5,6,29,9,4,306,0,Desktop,Edge,Summer,0,3,0,0
48,43,Male,52780,14,31,46,5,9,7,29,1,Mobile,Edge,Fall,1,2,1,402
49,19,Male,77879,18,49,13,12,1,7,314,0,Tablet,Safari,Fall,0,1,0,0
50,37,Male,105159,7,67,25,7,4,1,282,1,Mobile,Chrome,Fall,0,1,1,487
51,45,Female,55085,5,62,31,27,0,5,23,1,Mobile,Safari,Summer,1,5,1,232
52,64,Female,85499,16,44,22,21,1,4,17,0,Mobile,Firefox,Spring,1,3,0,0
53,24,Male,40426,11,67,35,13,3,3,133,0,Tablet,Chrome,Summer,0,5,1,365
54,61,Female,68197,3,42,21,15,9,6,59,0,Desktop,Firefox,Summer,0,3,0,0
55,25,Male,27485,16,33,15,10,14,3,144,1,Desktop,Chrome,Fall,0,5,0,0
56,64,Female,69527,11,44,3,4,0,4,103,0,Tablet,Edge,Summer,1,1,0,0
57,52,Male,84600,10,23,37,16,11,7,94,1,Desktop,Chrome,Winter,0,2,0,0
58,31,Female,144604,2,92,45,7,7,4,261,0,Tablet,Edge,Summer,0,2,1,274
59,34,Female,118560,16,60,26,13,14,8,282,1,Mobile,Chrome,Fall,0,3,1,143
60,53,Female,145144,17,48,47,4,5,9,171,0,Desktop,Edge,Spring,1,2,1,297
61,57,Male,135137,10,69,17,26,13,1,126,1,Tablet,Safari,Summer,0,5,1,168
62,21,Male,111005,18,104,38,12,13,1,86,0,Tablet,Safari,Spring,0,5,1,252
63,19,Male,101439,12,91,35,20,14,8,186,0,Tablet,Safari,Winter,0,4,0,0
64,23,Female,88748,8,17,41,2,0,1,109,0,Tablet,Chrome,Spring,1,4,0,0
65,59,Female,78528,3,34,8,5,8,2,2,0,Desktop,Edge,Summer,1,2,0,0
66,21,Male,124479,3,53,11,8,14,5,44,1,Mobile,Edge,Spring,1,3,0,0
67,46,Female,140631,6,119,24,4,0,3,204,1,Desktop,Edge,Fall,0,1,1,488
68,35,Male,47799,2,119,43,27,10,7,106,0,Desktop,Safari,Fall,0,5,1,219
69,43,Male,142714,3,105,8,29,14,7,219,0,Tablet,Safari,Winter,0,4,0,0
70,61,Male,66339,17,79,30,2,3,1,109,1,Mobile,Chrome,Fall,1,3,0,0
71,51,Male,36087,9,67,1,25,4,1,44,1,Tablet,Safari,Summer,0,1,1,58
72,27,Female,27446,4,75,34,6,12,2,217,0,Desktop,Chrome,Winter,0,1,0,0
73,53,Female,70460,2,39,20,3,10,1,305,1,Mobile,Safari,Summer,0,3,0,0
74,31,Female,114817,9,15,36,29,8,4,91,0,Desktop,Chrome,Winter,0,1,1,374
75,48,Male,78260,14,53,34,14,12,0,81,0,Mobile,Chrome,Fall,0,4,0,0
76,32,Female,34877,11,111,34,10,11,6,185,0,Mobile,Chrome,Fall,0,2,1,95
77,25,Male,148601,2,115,13,11,14,7,134,1,Tablet,Safari,Summer,0,5,1,167
78,31,Male,44723,2,119,6,5,1,3,338,1,Tablet,Chrome,Winter,0,4,1,115
79,40,Male,32943,5,44,36,22,14,6,299,1,Tablet,Chrome,Fall,1,4,1,218
80,57,Male,30306,7,116,25,16,11,8,44,0,Desktop,Firefox,Fall,0,5,1,137
81,38,Male,56784,4,25,27,9,8,6,66,0,Mobile,Firefox,Winter,0,2,1,25
82,33,Male,138628,14,51,47,21,11,1,301,0,Tablet,Chrome,Spring,0,2,0,0
